Size,Bedrooms,Location_Score,Price
1492,1,7,186304
4112,5,4,314949
2180,2,6,213086
3062,4,5,252260
4884,2,2,331660
1064,4,10,223690
4928,4,2,336813
4910,5,9,424400
3568,2,10,335461
2367,2,2,210805
2152,1,8,231515
3027,2,8,280171
3695,1,1,249959
2495,3,1,231569
4134,3,4,330981
2162,3,2,209570
2522,2,1,175520
3640,2,9,334176
1391,1,3,166866
2698,4,1,246179
1418,1,2,120644
3336,3,8,322764
1378,1,5,189865
2796,4,7,286576
4561,2,6,327795
3278,1,1,232698
4065,3,6,334682
3088,3,7,292066
4099,2,4,294675
3182,1,8,281967
1200,4,8,216842
2863,2,7,263004
1779,1,2,154146
3977,5,6,331755
4104,3,6,332596
4119,4,7,361531
1502,4,6,187159
3454,4,2,243277
4645,3,8,371518
2751,1,4,205547
1804,2,9,248998
3146,1,8,262396
3731,2,3,287160
2895,4,3,261385
3773,1,8,327545
2570,4,2,190640
1960,5,9,264591
4810,4,4,338548
3660,4,6,294969
2485,2,3,222941
3690,5,3,301002
4840,4,3,361285
2028,4,10,267128
4289,5,2,312029
1502,5,8,255080
3814,1,9,367129
1397,2,8,226055
1870,5,10,263250
3842,5,3,297208
1392,3,7,201927
1206,5,10,245884
2038,2,2,169605
2881,4,4,258869
4625,4,6,366145
3939,4,5,322706
2484,4,9,268864
4762,3,10,406808
4646,5,4,373839
1863,4,5,206295
3790,1,4,288396
4312,4,8,337969
1563,5,8,236943
2020,4,3,204248
1095,3,1,131497
2923,2,6,277105
2757,2,2,213664
3532,5,2,289246
4478,2,3,300653
3278,2,8,325549
3796,1,3,277989
2678,5,7,277825
4242,5,10,365622
1540,2,10,220354
2059,2,9,258212
3572,2,8,307847
2183,3,1,199075
4910,4,7,389811
2722,3,7,249724
4314,5,8,382116
4157,1,10,360413
2819,4,5,260263
3625,1,10,351918
3729,5,9,330535
3604,5,9,328330
2597,1,8,269733
4060,1,6,292518
3693,1,6,290542
1795,5,1,189426
2051,2,6,220919
2643,1,4,206533
4627,4,4,344186
2363,5,2,207076
4869,3,4,337915
2981,3,5,317396
2354,4,5,246322
2663,2,5,238898
2529,1,4,234924
3038,5,1,232535
4419,1,10,368177
2496,5,8,284291
4302,3,3,317730
3237,1,2,250736
4296,4,9,396154
2408,2,7,268212
2400,4,9,292848
2306,2,2,209689
3680,1,9,346770
3675,1,10,349397
1972,2,9,224818
2768,3,9,300864
2282,5,10,309754
4430,4,10,379457
1709,4,4,189569
2479,4,10,293048
2434,1,3,209551
1648,4,6,204073
1317,5,3,171708
4748,5,9,410098
4296,2,3,274645
4890,1,2,320621
2257,5,8,262111
1683,3,6,183546
1663,1,8,226612
2998,1,7,279569
4898,5,3,352373
4445,3,8,376407
4743,2,10,401968
2631,5,1,205481
2495,3,1,210594
4304,1,10,383613
4763,3,8,366862
2136,1,9,265007
2853,5,10,313396
2520,5,6,270192
3489,4,5,296729
1563,4,2,165569
2291,4,9,282638
4581,5,6,359052
4878,2,8,400104
4457,5,9,406520
4458,3,9,369693
4184,5,8,361691
2636,5,10,301187
4696,1,8,375428
3999,1,3,304600
4152,1,3,267586
1698,5,2,158625
3160,2,1,226747
1001,3,4,157838
1641,3,2,152930
3267,2,2,246061
2589,2,5,228335
1854,3,4,190998
2759,4,1,236994
4296,1,9,354653
3432,1,4,261189
4474,3,5,340676
2661,2,7,279434
2153,4,2,197004
2076,3,8,240426
2707,1,2,219036
3777,5,10,376041
2695,2,5,261919
2733,5,2,231115
2439,3,2,214077
3294,1,4,271555
1835,4,4,204477
4510,5,8,400291
1202,4,6,199870
4255,1,10,395992
1122,5,8,224865
1400,4,7,181099
1766,4,10,252324
1293,5,4,155382
3327,1,2,231767
4908,4,9,399829
3931,3,2,294580
4681,5,1,312455
1197,2,8,220763
4029,2,10,351422
2930,1,9,287172
4582,3,1,285504
3799,4,7,351618
3191,2,2,263225
1608,1,6,193418
4272,3,5,306390
2147,3,1,179227
1186,1,2,137782
4397,1,2,285327
3511,4,10,380812
4420,1,10,403380
2794,4,6,243467
1659,4,1,145642
3811,5,4,312430
4002,3,10,349021
2955,3,5,265493
3450,3,2,257660
2369,5,2,212856
2986,4,7,304581
2534,4,7,293811
1146,1,6,178241
4219,5,1,277768
3911,1,3,282708
2734,5,9,292937
2843,1,10,327034
1488,2,1,154797
3976,3,2,289837
2959,3,8,302694
2663,4,7,272574
3598,2,9,348680
3385,3,10,325686
3919,4,4,320350
1640,2,4,205880
2802,3,7,262890
3520,1,1,246064
2969,5,10,329698
3198,2,9,293782
2438,4,2,191365
4369,2,1,274710
2634,4,7,270918
1262,2,6,189383
2787,4,3,233805
3191,3,1,263509
3393,1,5,290042
1623,3,10,252940
2016,1,4,189343
4643,3,5,348197
1880,3,1,185523
3049,2,1,236250
3944,5,5,335837
2327,4,6,241795
3301,4,5,277206
4723,4,2,304739
1452,1,9,225528
4108,4,5,302622
2183,4,5,228917
4062,2,10,356796
3056,3,9,311136
4304,4,3,332683
4170,5,5,353804
2682,4,5,264635
3863,1,2,256686
3255,1,4,257414
2154,1,2,169593
1403,4,5,180336
3199,2,10,327186
3101,5,2,235436
4191,4,10,372733
2696,2,9,268753
4991,2,10,419424
1627,4,6,205941
1586,4,8,196054
2648,2,9,306904
2443,2,8,277350
2445,2,5,202020
1103,4,5,186172
4923,2,6,388990
1253,1,1,124853
4298,4,8,367135
4183,1,2,279369
3557,3,6,310646
2496,4,9,300297
1098,3,3,132033
3200,2,2,229407
2884,2,10,305724
3961,5,5,327703
2919,2,9,302061
1877,3,6,215962
1337,2,8,193619
4777,4,8,403628
3869,2,7,305125
4234,5,5,329315
4791,2,2,319817
1956,3,10,270077
2704,3,10,295821
1160,2,5,179296
2603,3,7,283911
3848,3,7,318057
1397,5,2,170723
2300,4,7,258692
1815,5,6,220634
4987,1,7,345756
2527,5,8,286662
2919,2,4,252910
2415,4,1,217059
2158,2,8,242874
2218,1,8,235894
1400,4,3,156281
1639,3,3,131976
4104,5,5,324129
3735,2,3,318247
1459,1,5,197014
1954,3,8,227817
4954,5,1,324979
1469,3,2,150634
4446,5,2,338277
2045,4,4,245618
3797,3,9,346196
2693,3,2,223605
3085,3,9,317055
3277,4,7,303612
4436,1,10,381029
1562,5,8,233822
3485,3,1,256419
2799,4,5,229923
4354,1,9,355507
3074,5,4,250949
1225,4,2,161601
4348,5,6,340615
1797,3,2,151376
4680,1,3,292174
3331,4,8,323290
3926,1,3,267368
1959,3,2,180877
2504,1,6,263943
1452,1,3,163227
4067,2,1,265698
4900,1,3,312372
1815,5,6,232274
1658,4,3,180963
4587,2,9,388028
1546,4,7,181545
2215,4,5,247811
4120,3,2,265307
4583,3,9,376887
1016,2,5,181649
4243,3,7,313645
2243,3,9,265847
3205,3,4,261128
3524,4,9,335768
2069,2,1,178793
4444,4,6,352426
3565,5,2,253149
3146,4,8,308759
4963,5,5,372875
2768,1,3,222496
2060,1,2,209290
3327,5,8,341411
4420,5,7,393407
3544,4,9,342361
1301,5,8,246830
1180,2,4,146159
1606,1,2,149911
4170,1,2,274797
1699,5,2,172511
1992,3,6,225219
2139,3,7,245009
1190,5,6,200964
3300,2,2,271169
1980,3,4,181130
3975,5,3,285671
3006,2,4,213671
2184,2,5,206570
4327,4,7,349687
4394,2,9,359223
1127,3,2,124265
3065,3,8,299586
2816,5,3,239999
2758,5,9,289628
3613,2,10,342915
1569,1,4,164852
2346,4,3,234647
2895,1,10,297295
3733,2,6,301400
4863,2,10,407073
1625,1,9,196162
4359,4,7,376153
3901,1,4,301823
2686,5,3,227403
4009,3,10,348490
4710,5,4,335350
1154,3,3,131550
3537,2,3,241398
2409,4,9,258813
1784,1,4,144493
4175,4,9,363295
4464,1,10,376151
4882,5,5,388316
1245,5,7,222056
4247,1,5,306340
4110,4,1,281785
2500,1,2,216546
2705,2,5,238522
3806,5,6,327858
1537,2,7,197760
2890,5,2,240088
2841,5,10,318305
1920,3,9,245766
3455,2,6,308738
1524,2,2,143235
3875,3,2,280480
2529,4,3,253202
3950,2,1,272169
4896,1,9,377852
1035,3,10,221962
1684,2,4,220680
1019,4,5,171538
3368,2,7,310304
4847,5,1,327427
3559,1,3,267081
1399,3,3,163776
3701,5,2,264779
1971,4,8,254159
2906,5,5,251954
3518,5,1,256213
2166,4,2,226975
2115,5,1,189670
4425,3,6,332401
1833,2,9,245263
2823,5,7,277846
3774,3,5,305329
2982,2,3,221451
1853,2,8,244345
1050,5,10,229369
4736,3,4,326771
4769,5,9,408845
1574,4,5,227727
4261,2,6,321111
2148,5,5,243764
3197,2,10,326119
3361,3,7,309099
3617,1,7,319353
4413,5,1,301494
3352,5,2,264885
2715,2,7,267223
1681,3,8,216214
1837,4,4,208731
4854,3,6,362263
2077,5,10,306303
4050,4,3,294882
3491,3,7,289745
3660,1,3,284806
4040,2,7,320836
3311,3,8,292350
4124,3,3,307012
2595,1,2,224737
4051,5,6,348610
4691,2,4,325973
1004,3,8,197128
2126,4,2,191989
2219,3,4,240862
1773,2,2,162090
1876,3,2,180284
1991,1,2,177088
3931,3,1,254146
4421,3,4,323156
1046,4,2,139650
3914,1,9,361352
3870,1,9,341427
3983,3,7,328475
4891,4,6,372373
3703,3,3,279145
1268,3,7,197816
1369,2,1,152361
1635,2,9,246430
2129,4,4,201589
2693,5,6,285669
2682,2,6,265370
1656,5,3,187009
1119,1,4,128840
1830,2,10,254689
2810,2,3,225190
4675,4,6,372073
2081,5,1,198749
2974,2,8,308486
2369,2,8,242532
1740,4,9,279075
4545,4,6,370679
1116,5,1,151513
2853,1,3,256396
3838,1,1,261667
2150,3,5,238004
4464,2,3,315746
2931,5,2,254162
2012,2,3,208024
2664,5,9,314083
2081,5,8,236370
1633,5,3,180442
1512,2,2,173177
4822,4,5,368572
3849,2,1,261708
2119,5,4,228564
4709,3,8,363894
2141,1,1,183847
1559,5,5,208521
4672,3,4,339878
1487,4,6,201666
4308,5,7,363865
4956,3,9,398685
1896,5,1,174941
4343,2,10,403982
2212,3,4,191802
1703,2,6,181660
2470,2,10,295222
1580,3,7,195703
3837,1,7,286797
3908,3,8,355614
3294,1,10,338601
4147,5,8,342729
1153,5,8,185720
2679,3,8,260668
4506,5,8,369801
1996,4,6,258508
4157,2,9,351403
3744,2,3,289677
4356,1,6,343626
2243,5,5,256986
2092,1,8,230210
4118,2,4,305747
2008,2,4,197112
3141,5,10,340119
2773,4,10,326888
1957,4,5,250526
4059,5,6,332090
1452,5,4,189720
2227,1,2,199350
3959,5,2,302126
3265,4,3,288976
3521,5,2,269432
3479,1,1,232988
3388,1,8,325044
1550,1,5,187045
2635,1,10,294853
2312,3,1,189509
4325,5,9,395156
2757,2,8,264873
1356,5,4,175925
3070,3,8,258776
2785,1,10,284836
3569,3,7,327423
2781,4,7,279746
4908,4,1,311541
4171,5,6,364991
3849,5,4,309527
4251,2,10,397956
4294,2,10,387550
4977,4,10,421673
3809,1,2,292975
4730,3,10,395880
3489,2,7,288026
2631,2,9,305540
3816,1,5,304867
2015,1,8,256657
2348,5,5,255620
1515,3,7,235402
4087,1,7,321677
3839,2,9,339120
1335,2,3,153762
2782,4,1,216314
3305,1,2,216744
1496,5,6,212251
1895,3,10,271616
3207,5,10,325142
4546,2,9,363594
1851,5,3,195510
2687,2,10,306118
2931,2,2,210414
3737,2,1,291879
4746,2,2,297812
3427,2,3,252789
2568,4,7,285411
1956,5,2,207312
3738,4,5,320099
4498,4,2,304618
2636,1,7,249365
2291,1,10,256703
4906,1,8,375497
4648,3,8,383141
2440,1,8,244080
2191,5,10,258327
4913,4,9,423188
2066,5,1,185597
4627,1,1,307571
1284,3,10,224562
3444,3,2,265341
1011,4,6,215442
2630,5,1,199350
4373,2,5,316981
4969,5,5,359938
4324,1,4,342762
3546,2,5,287028
1753,3,1,175962
3082,4,6,244442
3774,4,7,334316
3896,3,8,334387
1089,1,2,150279
1775,3,7,233631
3652,1,6,291304
4993,2,9,423347
4017,3,8,370924
2625,1,4,248835
4069,2,9,364887
1417,3,1,141690
1114,4,6,189181
1616,3,8,219549
4974,5,4,367019
4267,3,2,289430
1825,5,2,183704
4572,2,10,420753
2649,3,1,212114
2516,2,5,229351
4146,2,6,310796
1412,1,4,164102
4447,2,4,333530
4491,2,5,336600
1728,3,5,200590
4348,3,9,378783
4068,4,8,359314
3808,1,9,345979
1675,2,3,184728
4465,1,3,306921
2892,5,1,227521
3504,2,10,335212
3967,1,6,321754
3239,4,4,288767
3786,4,8,334246
4760,2,2,315544
2122,5,2,188898
2571,4,7,246121
1977,4,5,200282
2008,5,1,170344
3143,1,7,272163
2687,4,7,281248
3710,3,10,334429
4261,4,6,343315
4807,1,4,347917
1036,1,8,174352
4851,2,2,315171
4440,3,2,287199
4766,1,2,299012
2548,5,3,252949
3326,3,6,298874
3264,3,1,270443
3914,5,2,279644
1872,4,10,286226
2821,5,2,225117
2296,5,1,192282
4952,4,3,388434
3109,4,10,312924
1595,4,7,243550
2903,4,1,224670
1728,4,7,210245
2365,5,5,221789
1396,2,9,221377
1698,2,2,148047
4090,1,1,265066
3224,2,9,282632
2635,2,8,277066
1395,5,10,221613
3492,4,6,303698
4304,4,5,314443
4986,5,8,422688
1075,2,8,162101
1264,5,5,183955
3502,1,7,308491
2819,4,1,226333
1717,3,4,172147
3782,1,2,238003
4455,1,10,389470
4635,5,3,334894
1850,2,1,146424
4577,4,2,331116
2390,3,1,186059
1143,1,8,182289
1884,3,4,186199
4140,2,3,285608
4170,2,1,266567
1395,3,2,159674
4096,4,3,328059
3995,2,3,268799
3938,3,6,316784
2492,1,10,277139
4555,3,8,379718
4636,3,6,371624
4222,5,2,303709
2167,2,2,178793
3616,4,7,329471
2062,4,1,158498
3156,5,1,210640
4764,4,7,417055
2065,3,9,246131
2209,5,5,229244
3982,1,1,272257
3445,2,5,287454
4294,2,1,297978
1633,2,10,255714
2156,3,9,241163
4234,1,4,325739
2238,5,9,284560
1732,5,2,187270
1234,2,7,198037
4914,1,2,287215
3705,1,4,277101
1750,1,6,188001
3635,4,2,255090
4080,4,2,286681
4145,2,2,299631
1953,1,3,186957
3539,1,5,288512
3960,5,9,356305
4324,5,6,356844
4301,2,9,362064
2542,1,10,296336
2197,2,5,230284
2676,5,6,271197
2191,5,10,272530
3217,4,8,314944
2416,2,3,214436
3993,2,2,281440
3842,1,3,269962
3681,1,9,319231
2217,4,6,245685
2540,3,10,279134
3076,3,4,255023
4236,3,10,385603
2445,2,3,218872
3386,2,2,231940
4719,5,4,355427
2519,2,9,306428
2388,2,4,229533
2856,2,5,248681
2365,4,8,287862
1499,2,2,187937
2680,1,3,231950
1510,1,6,164526
4398,5,7,374152
1216,4,4,191031
2324,1,1,150240
2155,4,7,261806
2827,4,9,298303
4141,5,1,311781
4323,4,1,295082
4486,2,1,299448
2810,4,10,315899
3492,5,7,330311
3923,5,9,367856
2205,5,3,201763
3214,1,8,291753
1090,2,9,204401
1713,1,3,189105
2881,3,3,246314
4602,2,1,290236
1038,4,2,128104
4197,5,7,364671
4522,3,3,313977
1172,2,7,199897
1652,1,5,186763
1753,5,10,284551
2243,1,8,236094
4709,2,5,367031
2081,2,3,208802
2683,3,9,282544
3523,4,7,302975
1455,1,5,206665
1828,3,7,212860
1894,5,10,274295
2384,4,9,284380
2958,3,5,263050
4072,1,7,340320
3434,2,9,307741
2996,5,1,263795
3395,1,4,252382
1189,4,1,137290
1504,4,8,203627
2214,2,3,216391
2531,2,2,234871
4440,5,4,367122
4480,5,3,346020
1823,2,5,195582
1928,2,8,236425
1933,4,10,261806
2140,2,8,228802
1133,3,7,187217
3105,1,8,303881
4627,2,5,328345
1684,5,10,224985
3719,3,10,332154
3220,5,6,308273
2852,3,8,261826
1814,2,1,153620
2172,1,6,217845
1079,5,6,192820
3933,3,5,315169
4284,4,4,330203
1202,2,1,127869
3811,1,10,331382
2252,2,8,266121
2699,4,6,238494
2250,1,3,209218
2682,4,3,251261
2555,2,6,282801
4512,3,7,349287
4473,2,8,355247
3094,2,5,265499
2256,2,10,272481
4376,5,6,366319
2549,4,1,215286
2166,4,6,233021
4486,4,9,382828
4584,5,10,418199
2396,3,4,205807
4637,2,10,388344
4957,3,1,331170
4330,5,9,365499
3703,4,4,242035
1470,2,2,175198
4018,1,1,265592
2035,1,3,167886
2353,3,7,266456
3783,4,10,356025
3831,1,2,251027
1967,3,9,258895
1357,5,2,163623
4019,3,5,306752
4479,3,8,357405
1667,3,10,232957
1372,2,8,219633
2031,3,3,177824
2145,3,2,180287
2371,2,9,270067
3723,2,3,298033
1089,5,8,211443
4719,4,2,334772
3745,1,3,273783
4387,1,1,297946
4249,3,6,366513
1539,5,7,215384
3779,3,4,294160
1868,1,1,161002
1040,2,3,149947
1739,4,9,248936
4775,5,5,355593
2946,2,6,267193
3549,4,4,323925
4006,5,1,290008
4216,5,5,307138
2224,1,5,210276
1928,2,5,206600
3036,5,6,284691
4795,5,2,333723
3508,4,1,259694
3779,1,2,271579
3799,3,10,358832
1924,1,6,225459
3956,3,5,290369
2581,2,5,235260
4618,2,6,357414
4324,5,10,395042
1389,2,7,189665
2617,5,9,287871
3930,1,7,308874
1255,2,2,157399
1708,1,6,172618
2838,1,9,267676
2944,2,7,283479
3497,1,2,257997
1009,2,3,116683
3871,2,8,342946
1797,2,9,242557
4313,3,4,328384
4322,1,9,362186
1876,4,2,190182
2028,2,5,218300
4190,1,2,291578
2015,5,1,189410
2824,2,5,249916
1373,2,2,147455
4136,4,7,350252
3193,3,8,317031
1223,3,2,175621
2262,2,7,251027
3224,1,4,261861
2802,5,1,243331
1852,5,3,203546
4353,1,1,266745
1062,2,5,152100
2240,5,8,294433
4925,3,1,310548
3874,1,9,347252
3842,4,3,277269
1688,2,5,213664
2484,1,9,262297
2633,5,5,257891
3152,2,9,304176
4170,3,10,381072
1510,2,8,218073
1384,2,7,212849
1404,3,1,155029
3870,3,4,302727
1517,2,9,235620
1475,3,10,249255
3000,1,8,279038
3756,3,4,285694
4934,3,1,344981
2668,2,10,303994
2893,1,4,245715
3818,4,3,278874
2460,4,6,226176
4094,5,5,325309
4044,3,5,310410
4636,3,2,312145
3724,1,3,283992
1713,4,6,238561
4529,5,2,338091
1082,1,4,140014
2168,3,2,201472
4156,4,9,360490
4149,5,3,284833
3504,2,10,334053
2901,4,10,333960
3048,5,6,282379
1050,1,1,129998
1684,2,10,234215
1716,5,3,201127
4843,5,8,393496
2469,3,5,261300
1448,4,8,217700
1880,3,2,170864
1487,2,7,226422
2823,5,9,297497
3081,3,7,292242
4419,4,3,312405
3142,2,7,300961
4143,1,8,361603
2574,3,1,193582
3201,2,3,258245
1249,1,5,177037
1673,3,6,210543
1437,2,3,184733
3165,2,4,281020
1770,3,5,190710
4962,2,3,356229
4377,5,4,341449
1267,3,5,182010
2984,2,2,225717
2077,1,10,236615
1235,1,9,210995
1388,5,10,249018
4037,3,8,376771
4805,2,6,350138
1762,2,10,223990
2848,1,3,209712
3448,5,2,291268
1623,1,7,199433
3814,1,8,346157
4374,5,10,393793
3966,3,1,258679
4278,2,6,363919
2252,3,7,267366
3900,4,9,352307
4981,4,3,364001
1577,4,2,170695
3122,5,5,287663
1434,1,10,253134
3150,3,1,209705
4493,2,6,339270
4775,4,9,399188
1763,3,10,258167
3785,4,9,330519
3853,4,7,346403
2329,2,7,229140
3145,5,8,293502
4921,1,10,397288
3845,5,2,315682
2358,3,6,281024
3906,5,5,327627
3482,3,5,285527
1446,3,3,169644
3017,1,3,240873
2331,2,6,258545
1248,1,10,199127
1165,5,10,251166
4552,3,7,341198
4031,4,1,274336
2358,4,3,217861
2019,3,1,182117
1541,1,10,231995
1758,2,3,180525
4177,1,5,314456
4634,3,9,363888
3128,3,3,260027
3180,2,10,331169
1796,5,10,284939
3947,5,9,390056
1137,2,1,133012
3231,5,6,317722
4472,4,9,383871
2353,5,5,220893
3832,5,10,381016
4579,5,2,335042
2875,4,5,263759
4031,5,1,285615
1068,4,9,220569
3593,2,10,334586
4845,1,10,403883
3100,2,9,291167
2473,1,6,226502
1204,2,9,190391
3173,1,3,277310
4818,1,4,336996
1042,3,6,195223
4823,1,4,319698
2906,1,1,207574
3158,3,7,301172
1760,5,5,235068
4734,5,8,382662
4254,3,9,361662
3895,4,5,302870
3142,1,8,290290
2994,1,1,199402
4445,3,1,275698
2935,3,7,285630
4591,4,6,369608
1899,5,5,202864
1359,2,5,167832
3947,5,9,360850
2719,1,1,226551
1280,3,8,166511
4266,4,2,309974
2887,5,7,299538
4266,4,6,332617
1666,5,10,253061
1092,1,2,134594
1671,2,3,173105
2969,4,4,283935
1060,4,7,194539
3681,2,8,336968
4122,4,2,302853
4474,4,8,384111
4860,5,9,396339
2028,5,7,249417
2489,2,1,193466
1603,1,6,184406
1681,4,8,247925
4900,1,5,319768
3581,2,2,279254
2428,2,5,198118
3885,5,8,346944
4584,4,2,333317
3692,3,1,241774
3280,2,4,270356
1523,4,4,190884
3393,1,9,319549
4117,5,3,305619
3593,1,4,267670
2968,2,3,214848
2101,2,2,183490
2753,1,4,246412
2836,2,8,274958
4994,4,1,323606
4144,2,8,371044
3841,5,8,344597
3296,4,3,270082
3094,3,10,327735
2144,2,10,264737
3261,2,6,293268
3286,5,4,294141
2079,5,1,202503
3397,1,1,250080
1106,1,5,129059
3878,1,8,311321
1047,5,1,129632
4644,1,2,295260
1336,1,7,180998
2049,3,8,260793
3851,1,3,279153
2280,2,8,251947
3055,5,1,234366
1624,4,9,235197
2890,3,2,225870
2276,5,2,229613
2715,5,4,224286
3766,2,10,367416
1302,1,3,184505
1638,2,4,200902
1055,1,6,152901
1725,1,7,203952
1525,5,5,216749
1473,1,2,144920
1027,3,3,138759
3125,3,10,319735
4287,3,3,292522
4457,5,5,345896
1364,2,5,160106
3713,4,4,306487
1525,1,8,198585
3746,4,6,318072
2335,2,6,230083
1882,2,1,169830
2030,5,6,248835
2026,3,3,200597
2646,3,6,246795
1918,2,10,247452
3797,5,6,360248
3410,5,2,279727
2774,1,1,200732
2531,3,3,212937
4345,2,5,305665
4577,4,4,355773
3853,3,7,316986
3786,1,4,300106
2906,5,8,312711
4086,2,7,354592
2215,3,10,287132
2654,4,9,289552
1484,1,1,139438
3075,1,5,259118
1713,3,4,186618
2062,4,6,208751
2976,1,1,181474
2296,2,6,246182
2254,1,1,174986
3133,4,1,251050
4545,5,8,376556
1125,5,2,151232
3859,3,10,371892
1536,4,6,230130
3192,1,6,269857
4596,1,6,329798
4283,5,8,387345
3072,5,4,264293
2603,2,3,212871
4465,5,6,352253
1066,2,4,142520
1232,1,2,148206
3156,2,6,257726
2169,2,10,269980
3158,3,5,276645
3275,5,9,319771
1110,2,6,199306
2493,1,3,223125
3081,4,5,267232
1622,2,10,239507
4847,5,8,410764
4440,3,9,378200
3795,1,8,345773
3642,3,3,285593
4625,4,9,395043
3472,2,3,267264
3660,2,8,370233
2541,5,10,286773
3739,2,9,320533
2305,1,7,236628
4391,4,4,350620
2761,3,10,266091
4514,4,9,357141
2975,2,3,232754
3362,3,3,294902
1876,5,2,189181
2989,4,10,302013
4812,3,3,347930
4448,3,1,322328
2312,3,4,211019
2460,1,8,264816
3709,4,5,307801
3324,3,2,259783
2733,4,3,229765
2605,3,1,214679
2526,5,2,233877
3671,5,1,279264
3563,5,2,248814
4421,2,3,289542
3890,3,1,259161
4517,2,9,379862
4901,4,10,423437
3397,2,5,264038
2630,4,8,286363
4735,4,5,370935
3870,4,8,353520
2160,2,7,231102
1758,3,4,187373
3946,2,7,307836
1242,3,6,213204
3590,3,3,281610
2063,4,9,238966
1228,2,10,239799
3595,3,9,344628
1919,5,5,238864
2246,3,8,248920
1005,5,7,188964
4393,2,9,357460
1467,2,7,235107
2755,2,4,230235
1074,3,4,144371
1003,1,8,175445
2870,3,6,263622
1645,3,9,260589
1117,4,10,230002
3928,4,7,354903
2629,3,7,270729
3551,5,4,289846
3021,4,3,235412
1946,3,8,266210
3621,1,7,320914
2464,5,4,254429
1193,2,4,173527
1846,3,1,156648
3762,3,7,327075
2415,5,1,222052
4097,4,10,389015
2458,4,10,295248
3220,4,4,300624
4371,2,3,316544
2668,5,3,258229
3373,5,1,256652
2433,4,4,226075
2141,4,1,201587
3883,1,8,340152
2810,1,1,210696
1723,3,6,198458
1224,3,7,211364
1531,5,10,239648
1112,5,2,162260
3187,2,4,242895
1558,2,3,155194
3048,1,9,301781
3137,3,7,300534
1653,1,2,160900
1319,1,6,173042
2573,3,9,300348
2828,2,3,233482
2917,3,6,273750
1138,4,3,154537
4582,4,3,318259
4939,4,4,373850
3892,5,9,349959
3026,2,8,316761
3306,2,1,222925
4744,5,1,327043
1901,1,7,221093
1689,4,3,182760
3039,4,7,302178
1009,1,9,207296
1260,3,3,166039
2942,3,3,226141
2673,2,2,196080
3219,5,10,317477
3945,2,1,263588
3060,3,9,339730
2191,1,6,223812
4713,2,6,387163
2619,4,8,280448
1320,4,5,188399
2342,1,9,271036
2636,3,5,242434
3376,4,2,262209
3832,4,6,296057
3824,5,9,342863
2994,2,3,214472
3958,3,10,373778
2943,2,4,226699
4621,3,10,417225
3038,4,8,307240
4490,5,6,373891
4677,2,7,354150
2118,4,7,229047
